Rule ID,SDTMIG Version,Rule Version,Class,Domain,Variable,Condition,Rule,Document,Section,Item ,Cited Guidance,Release Notes,,,,,,,,,,,,
CG0001,3.2,1,ALL,ALL,DOMAIN,Not custom domain,DOMAIN = valid Domain Code published by CDISC,IG v3.2,2.6,3.d,"Check the CDISC Controlled Terminology [see Appendix C - Controlled Terminology] for reserved two-character domain identifiers or abbreviations. If one has not been assigned by CDISC, then the sponsor may select the unique two-character domain code to be used consistently throughout the submission.",,,,,,,,,,,,,
CG0001,3.3,1,ALL,ALL,DOMAIN,Not custom domain,DOMAIN = valid Domain Code published by CDISC,IG v3.3,2.6,3.e,"Determine the domain code, one that is not a domain code in the CDISC Controlled Terminology codelist ""SDTM Domain Abbreviations"" available at http://www.cancer.gov/research/resources/terminology/cdisc. If it desired to have this domain code as part of CDISC controlled terminology, then submit a request to https://ncitermform.nci.nih.gov/ncitermform/?version=cdisc. The sponsor-selected, two-character domain code should be used consistently throughout the submission.",,,,,,,,,,,,,
CG0001,3.4,1,ALL,ALL,DOMAIN,Not custom domain,DOMAIN = valid Domain Code published by CDISC,IG v3.4,3.2.2,,Using SDTM-specified standard domain names and prefixes where applicable,Section and cited guidance updated.  Orginal cited guidance was for a custom domain.,,,,,,,,,,,,
CG0002,3.2,1,ALL,ALL,--DUR,--DUR ^= null,--DUR collected and not derived,Model v1.4,2.2.5,,"Collected duration of an event, intervention, or finding represented in ISO 8601 character format. Used only if collected on the CRF and not derived.",,,,,,,,,,,,,
CG0002,3.3,1,ALL,ALL,--DUR,--DUR ^= null,--DUR collected and not derived,Model v1.7,2.2.5,,"Collected duration of an event, intervention, or finding. Used only if collected on the CRF and not derived.  Format=ISO8601",,,,,,,,,,,,,
CG0002,3.4,1,ALL,ALL,--DUR,--DUR ^= null,--DUR collected and not derived,Model v2.0,Timing,--DUR,Used only if collected on the CRF and not derived.,Cited guidance updated. Reference to model section and item updated per new style.,,,,,,,,,,,,
CG0006,3.2,2,ALL,ALL,--DY,Date portion of --DTC is complete and date portion of RFSTDTC is a complete date AND --DY is ^= null,--DY calculated as per the study day algorithm as a non-zero integer value,IG v3.2,4.1.4.4,,"IG v3.2[4.1.4.4][The Study Day value is incremented by 1 for each date following RFSTDTC. Dates prior to RFSTDTC are decreased by 1, with the date preceding RFSTDTC designated as Study Day -1 (there is no Study Day 0). . . . All Study Day values are integers.]IG v3.2[4.1.4.4][Thus, to calculate Study Day:  --DY = (date portion of --DTC) - (date portion of RFSTDTC) + 1 if --DTC is on or after RFSTDTC --DY = (date portion of --DTC) - (date portion of RFSTDTC) if --DTC precedes RFSTDTC This algorithm should be used across all domains.]","A change in the condition resulted in a new rule version.  The version 1 condition was: ""Date portion of --DTC is complete and RFSTDTC is a complete date AND --DY is ^= null"". The date portion of RFSTDTC was added to ensure clarity.",,,,,,,,,,,,
CG0006,3.3,2,ALL,ALL,--DY,Date portion of --DTC is complete and date portion of RFSTDTC is a complete date AND --DY is ^= null,--DY calculated as per the study day algorithm as a non-zero integer value,IG v3.3,4.4.4,,"IG v3.3[4.4.4][The Study Day value is incremented by 1 for each date following RFSTDTC. Dates prior to RFSTDTC are decreased by 1, with the date preceding RFSTDTC designated as Study Day -1 (there is no Study Day 0). . . . All Study Day values are integers.] IG v3.3[4.4.4][ Thus, to calculate Study Day:  --DY = (date portion of --DTC) - (date portion of RFSTDTC) + 1 if --DTC is on or after RFSTDTC --DY = (date portion of --DTC) - (date portion of RFSTDTC) if --DTC precedes RFSTDTC This algorithm should be used across all domains.]","The original 3.2 rule condition did not specify that the date portion of RFSTDTC was to be used.  This is corrected in 3.3, as well as version 2 of the 3.2 rule.",,,,,,,,,,,,
CG0006,3.4,2,ALL,ALL,--DY,Date portion of --DTC is complete and date portion of RFSTDTC is a complete date AND --DY is ^= null ,--DY calculated as per the study day algorithm as a non-zero integer value ,IG v3.4,4.4.4,,"The Study Day value is incremented by 1 for each date following RFSTDTC. Dates prior to RFSTDTC are decreased by 1, with the date preceding RFSTDTC designated as Study Day -1 (there is no Study Day 0). . . . All Study Day values are integers. Thus, to calculate Study Day: --DY = (date portion of --DTC) - (date portion of RFSTDTC) + 1 if --DTC is on or after RFSTDTC --DY = (date portion of --DTC) - (date portion of RFSTDTC) if --DTC precedes RFSTDTC This algorithm should be used across all domains.",No Change,,,,,,,,,,,,
CG0007,3.2,1,ALL,ALL,--DY,The date portion of --DTC ^= complete date or the date portion of DM.RFSTDTC ^= complete date,--DY = null,IG v3.2,4.1.4.4,,"The permissible Study Day variables (--DY, --STDY, and --ENDY) . . . are determined by comparing the date portion of the respective date/time variables (--DTC, --STDTC, and --ENDTC) to the date portion of the Subject Reference Start Date (RFSTDTC from the Demographics domain).",,,,,,,,,,,,,
CG0007,3.3,1,ALL,ALL,--DY,The date portion of --DTC ^= complete date or the date portion of DM.RFSTDTC ^= complete date,--DY = null,IG v3.3,4.4.4,,"The permissible Study Day variables (--DY, --STDY, and --ENDY) . . . are determined by comparing the date portion of the respective date/time variables (--DTC, --STDTC, and --ENDTC) to the date portion of the Subject Reference Start Date (RFSTDTC from the Demographics domain).",,,,,,,,,,,,,
CG0007,3.4,1,ALL,ALL,--DY,The date portion of --DTC ^= complete date or the date portion of DM.RFSTDTC ^= complete date,--DY = null,IG v3.4,4.4.4,,"The permissible Study Day variables (--DY, --STDY, and --ENDY) . . . are determined by comparing the date portion of the respective date/time variables (--DTC, --STDTC, and --ENDTC) to the date portion of the Subject Reference Start Date (RFSTDTC from the Demographics domain).",No Change,,,,,,,,,,,,
CG0008,3.2,1,ALL,ALL,--ELTM,--TPTREF = null,--ELTM = null,Model v1.4,2.2.5,Table 2.2.5: --ELTM,"Planned Elapsed time in ISO 8601 character format relative to a planned fixed reference (--TPTREF) such as ""Previous Dose"" or ""Previous Meal"".",,,,,,,,,,,,,
CG0008,3.3,1,ALL,ALL,--ELTM,--TPTREF = null,--ELTM = null,Model v1.7,2.2.5,Table 2.2.5: --ELTM,"Planned Elapsed time relative to a planned fixed reference (--TPTREF) such as ""Previous Dose"" or ""Previous Meal"". This variable is useful where there are repetitive measures. Not a clock time or a date/time variable, but an interval.   Format=ISO8601",,,,,,,,,,,,,
CG0008,3.4,1,ALL,ALL,--ELTM,--TPTREF = null,--ELTM = null,Model v2.0,Timing,--ELTM,"The interval of time between a planned time point and a fixed reference point, represented in a standardized character format. The fixed reference point is in --TPTREF.",Cited guidance updated. Reference to model section and item updated per new style.,,,,,,,,,,,,
CG0009,3.2,1,ALL,ALL,EPOCH,,EPOCH in TA.EPOCH,IG v3.2,6.2,"DS, Assumption 3.c","... EPOCH, as a Timing variable, is the name of the Epoch during which --STDTC or --DTC falls. The values of EPOCH are drawn from the Trial Arms domain, Section 7.2 - Experimental Design: Trial Arms (TA)",,,,,,,,,,,,,
CG0009,3.3,1,ALL,ALL,EPOCH,,EPOCH in TA.EPOCH,IG v3.3,6.2.3,"DS, Assumption 4.c","EPOCH may be included as a timing variable as in other general-observation-class domains. In DS, EPOCH is based on DSSTDTC. The values of EPOCH are drawn from the Trial Arms (TA) dataset (Section 7.2.1, Trial Arms).",,,,,,,,,,,,,
CG0009,3.4,1,ALL,ALL,EPOCH,,EPOCH in TA.EPOCH,IG v3.4,6.2.3,"DS, Assumption 4.c","EPOCH may be included as a timing variable as in other general-observation-class domains. In DS, EPOCH is based on DSSTDTC. The values of EPOCH are drawn from the Trial Arms(TA) dataset (Section 7.2.1, Trial Arms).",No Change,,,,,,,,,,,,
CG0010,3.2,2,ALL,ALL,GEN,,"Metadata attribute of Variable Role = IG Role for domains in IG, Metadata attribute of Variable Role = Model Role for custom domains",IG v3.2|Model v1.4,IG v3.2[3.1]|Model v1.4[2],,IG v3.2[3.1][Since these roles are predefined for all standard domains that follow the general observation classes]|Model v1.4[2][Each variable . . . can be classified according to its Role],"""Metadata attribute of"" added into the rule.",,,,,,,,,,,,
CG0010,3.3,2,ALL,ALL,GEN,,"Metadata attribute of Variable Role = IG Role for domains in IG, Metadata attribute of Variable Role = Model Role for custom domains",IG v3.3,2.1,,Each variable can be classified according to its Role. A Role determines the type of information conveyed by the variable about each distinct observation and how it can be used. Variables can be classified into five major roles.,"""Metadata attribute of"" added into the rule.",,,,,,,,,,,,
CG0010,3.4,2,ALL,ALL,GEN,,"Metadata attribute of Variable Role = IG Role for domains in IG, Metadata attribute of Variable Role = Model Role for custom domains",IG v3.4,2.1,,Each variable can be classified according to its Role. A Role determines the type of information conveyed by the variable about each distinct observation and how it can be used. Variables can be classified into five major roles.,"""Metadata attribute of"" added into the rule.",,,,,,,,,,,,
CG0011,3.2,1,ALL,ALL,GEN,,"Variable Format = SDTM-specified controlled terminology and format guidelines for variables, when provided",IG v3.2,3.2.2,,"Following SDTM-specified controlled terminology and format guidelines for variables, when provided",,,,,,,,,,,,,
CG0011,3.3,1,ALL,ALL,GEN,,"Variable Format = SDTM-specified controlled terminology and format guidelines for variables, when provided",IG v3.3,3.2.2,,"Following SDTM-specified controlled terminology and format guidelines for variables, when provided",,,,,,,,,,,,,
CG0011,3.4,1,ALL,ALL,GEN,,"Variable Format = SDTM-specified controlled terminology and format guidelines for variables, when provided",IG v3.4,3.2.2,,"Following SDTM-specified controlled terminology and format guidelines for variables, when provided",No Change,,,,,,,,,,,,
CG0012,3.2,1,ALL,ALL,GEN,,"Variable Type = IG Type for domains in IG, Type = Model Type for custom domains",IG v3.2|Model v1.4,IG v3.2[3.2.2]|Model v1.4[2],,"IG v3.2[3.2.2][Using SDTM-specified data types for all variables]|Model v1.4[2][The data Type (e.g., whether the variable value is a character or numeric)]",,,,,,,,,,,,,
CG0012,3.3,1,ALL,ALL,GEN,,"Variable Type = IG Type for domains in IG, Type = Model Type for custom domains",IG v3.3|Model v1.7,IG v3.3[3.2.2]|Model v1.7[2.1],,"IG v3.3[3.2.2][Using SDTM-specified data types for all variables]|Model v1.7[2.1][The SDTM describes the name, label, role, and type for the standard variables. Note that the SDTM type specified in this document is either character or numeric, as these are the only types supported by SAS v.5 transport files.]",,,,,,,,,,,,,
CG0012,3.4,1,ALL,ALL,GEN,,"Variable Type = IG Type for domains in IG, Type = Model Type for custom domains",IG v3.4|Model v2.0,IG v3.4[3.2.2]|Model v2.0[2.1],,"IG v3.4[3.2.2][Using SDTM-specified data types for all variables]|Model v2.0[2.1][Note that the SDTM type specified in this document is either character or numeric, as these are the only types supported by SAS v.5 transport files.]","""The SDTM describes the name, label, role, and type for the standard variables."" has been removed from the Cited Guidance for the model as it no longer appears in the model.",,,,,,,,,,,,
CG0013,3.2,1,ALL,ALL,GEN,,Variable = Model List of Allowed Variables for Observation Class,IG v3.2|Model v1.4,IG v3.2[2.5]|Model v1.4[3.2.22],,IG v3.2[2.5][Sponsors may not add any other variables. . . . Standard variables must not be renamed or modified for novel usage. Using SDTM-specified standard variable names.]|Model v1.4[3.2.22][Each observation can be described by a series of named variables.],,,,,,,,,,,,,
CG0013,3.3,1,ALL,ALL,GEN,,Variable = Model List of Allowed Variables for Observation Class,IG v3.3|Model v1.7,IG v3.3[2.5]|Model v1.7[3.2.2 2.1],,"IG v3.3[2.5][Sponsors may not add any other variables. . . . Standard variables must not be renamed or modified for novel usage]|IG v3.3[2.5][[Using SDTM-specified standard variable names]|Model v1.7[3.2.2 2.1][Each observation can be described by a series of named variables. Domain-specific variables, a concept introduced in SDTM v1.5, are for use in a limited number of designated domains and will be identified in the appropriate implementation guide.]",,,,,,,,,,,,,
CG0013,3.4,1,ALL,ALL,GEN,,Variable = Model List of Allowed Variables for Observation Class,IG v3.4|Model v2.0,2.5|Model Concepts and Terms --Variables|The General Observation Classes,,"IG v3.4[2.5][Sponsors may not add any variables other than those described in the preceding three bullets. . . . Standard variables must not be renamed or modified for novel usage.]|Model 2.0[Model Concepts and Terms --Variables][Each observation consists of a series of named variables.]|Model 2.0[The General Observation Classes]Domain-specific variables, a concept introduced in SDTM v1.5, are for use in a limited number of designated domains and will be identified in the appropriate implementation guide.]",IG section number updated and citation clarified.  Also updated how the section is referred to in SDTM v2.0 per new guidelines.,,,,,,,,,,,,
CG0014,3.2,1,ALL,ALL,GEN,Variable Core Status = Required,Variable present in dataset and ^= null,IG v3.2,4.1.1.5,,Required variables must always be included in the dataset and cannot be null for any record.,,,,,,,,,,,,,
CG0014,3.3,1,ALL,ALL,GEN,Variable Core Status = Required,Variable present in dataset and ^= null,IG v3.3,4.1.5,,Required variables must always be included in the dataset and cannot be null for any record.,,,,,,,,,,,,,
CG0014,3.4,1,ALL,ALL,GEN,Variable Core Status = Required,Variable present in dataset and ^= null,IG v3.4,4.1.5,,Required variables must always be included in the dataset and cannot be null for any record.,No Change,,,,,,,,,,,,
CG0015,3.2,1,ALL,ALL,GEN,Variable Core Status = Permissible and data is collected,Variable present in dataset and ^= null,IG v3.2,4.1.1.5,,The sponsor does not have the discretion to exclude permissible variables when they contain data.,,,,,,,,,,,,,
CG0015,3.3,1,ALL,ALL,GEN,Variable Core Status = Permissible and data is collected,Variable present in dataset and ^= null,IG v3.3,4.1.5,,The sponsor does not have the discretion to exclude permissible variables when they contain data.,,,,,,,,,,,,,
CG0015,3.4,1,ALL,ALL,GEN,Variable Core Status = Permissible and data is collected,Variable present in dataset and ^= null,IG v3.4,4.1.5,,"If a study includes a data item that would be represented in a Permissible variable, then that variable must be included in the SDTM dataset, even if null. ",Text for cited guidance was modified in SDTMIG v3.4,,,,,,,,,,,,
CG0016,3.2,1,ALL,ALL,GEN,Variable Core Status = Expected,Variable present in dataset,IG v3.2,4.1.1.5,,"When no data has been collected for an expected variable, however, a null column must still be included in the dataset, and a comment must be included in the define.xml to state that data was not collected.",,,,,,,,,,,,,
CG0016,3.3,1,ALL,ALL,GEN,Variable Core Status = Expected,Variable present in dataset,IG v3.3,4.1.5,,"When no data has been collected for an expected variable, however, a null column must still be included in the dataset, and a comment must be included in the define.xml to state that data was not collected.",,,,,,,,,,,,,
CG0016,3.4,1,ALL,ALL,GEN,Variable Core Status = Expected,Variable present in dataset,IG v3.4,4.1.5,,"When the study does not include the data item for an expected variable, however, a null column must still be included in the dataset, and a comment must be included in the Define-XML document to state that the study does not include the data item.",Text for cited guidance was modified in SDTMIG v3.4,,,,,,,,,,,,
CG0017,3.2,2,NOT (AP),ALL,GEN,Non-Supplemental Qualifier datasets,Split dataset names length > 2 and <= 4,IG v3.2|AP Guide v1.0,4.1.1.7|2,Rule 6,"4.1.1.7[Split dataset names can be up to four characters in length. For example, if splitting by --CAT, then dataset names would be the domain name plus up to two additional characters (e.g., QS36 for SF-36). If splitting Findings About by parent domain, then the dataset name would be the domain name plus the two-character domain code describing the parent domain code (e.g., FACM).]|2[AP domain codes are therefore four characters long.]",Class changed to NOT (AP). New rule version 2.,,,,,,,,,,,,
CG0017,3.3,2,NOT (AP),ALL,GEN,Non-Supplemental Qualifier datasets,Split dataset names length > 2 and <= 4,IG v3.3|AP Guide v1.0,4.1.7|2,Rule 6,"4.1.7[Split dataset names can be up to four characters in length. For example, if splitting by --CAT, then dataset names would be the domain name plus up to two additional characters (e.g., QS36 for SF-36). If splitting Findings About by parent domain, then the dataset name would be the domain name plus the two-character domain code describing the parent domain code (e.g., FACM).]|2[AP domain codes are therefore four characters long.]",Class changed to NOT (AP). New rule version 2.,,,,,,,,,,,,
CG0017,3.4,2,NOT (AP),ALL,GEN,Non-Supplemental Qualifier datasets,Split dataset names length > 2 and <= 4,IG v3.4|AP Guide v1.0,4.1.7|2,Item 6,"4.1.7[For domains with two-letter domain codes (i.e., other than SUPPxx and RELREC), split dataset names can be up to four characters in length... The four-character dataset-name limitation allows the use of a Supplemental Qualifier dataset associated with the split dataset]|2[AP domain codes are therefore four characters long.]",Text for cited guidance was modified in SDTMIG v3.4.  Class changed to NOT (AP).  New rule version 2.,,,,,,,,,,,,
CG0018,3.2,1,ALL,ALL,GEN,Supplemental Qualifier datasets,Split dataset names length <= 8,IG v3.2,4.1.1.7,Rule 7,Supplemental Qualifier datasets for split domains would also be split. The nomenclature would include the additional one-to-two characters used to identify the split dataset.,,,,,,,,,,,,,
CG0018,3.3,1,ALL,ALL,GEN,Supplemental Qualifier datasets,Split dataset names length <= 8,IG v3.3,4.1.7,Rule 7,Supplemental Qualifier datasets for split domains would also be split. The nomenclature would include the additional one-to-two characters used to identify the split dataset.,,,,,,,,,,,,,
CG0018,3.4,1,ALL,ALL,GEN,Supplemental Qualifier datasets,Split dataset names length <= 8,IG v3.4,4.1.7,7,Supplemental Qualifier datasets for split domains would also be split. The nomenclature would include the additional one-to-two characters used to identify the split dataset.,No Change,,,,,,,,,,,,
CG0019,3.2,1,ALL,ALL,GEN,,Each record is unique per sponsor defined key variables as documented in the define.xml,IG v3.2,Table 3.2.1|3.2.1.1,,"Table 3.2.1[Note that the key variables shown in this table are examples only. A sponsor's actual key structure may be different.]|3.2.1.1[Since the purpose of this column is to aid reviewers in understanding the structure of a dataset, sponsors should list all of the natural keys (see definition below) for the dataset. These keys should define uniqueness for records within a dataset, and may define a record sort order.]",,,,,,,,,,,,,
CG0019,3.3,1,ALL,ALL,GEN,,Each record is unique per sponsor defined key variables as documented in the define.xml,IG v3.3,Table 3.2.1|3.2.1.1,,"Table 3.2.1[Note that the key variables shown in this table are examples only. A sponsor's actual key structure may be different.]||3.2.1.1[Since the purpose of this column is to aid reviewers in understanding the structure of a dataset, sponsors should list all of the natural keys (see definition below) for the dataset. These keys should define uniqueness for records within a dataset, and may define a record sort order.]",,,,,,,,,,,,,
CG0019,3.4,1,ALL,ALL,GEN,,Each record is unique per sponsor defined key variables as documented in the define.xml,IG v3.4,Table 3.2.1|3.2.1.1,,"Table 3.2.1[Note that the key variables shown in this table are examples only. A sponsor's actual key structure may be different.]||3.2.1.1[Since the purpose of this column is to aid reviewers in understanding the structure of a dataset, sponsors should list all of the natural keys (see definition below) for the dataset. These keys should define uniqueness for records within a dataset, and may define a record sort order. The identified keys for each dataset should be consistent with the description of the dataset structure as described in the Define-XML document.]",Cited guidance was added for the  Define-XML portion of the rule.,,,,,,,,,,,,
CG0020,3.2,1,ALL,ALL,GEN,Use of value 'MULTIPLE' is appropriate to the data being represented,Value in associated codelist or 'MULTIPLE',IG v3.2,3.2.2|4.1.2.8.3,,"3.2.2[Conformance with the SDTMIG Domain Models is minimally indicated by following SDTM-specified controlled terminology and format guidelines for variables, when provided]4.1.2.8.3[The SDTM permits one value for each Qualifier variable per record. If multiple values exist (e.g., due to a ""Check all that apply"" instruction on a CRF), then the value for the Qualifier variable should be ""MULTIPLE"" and SUPP-- should be used to store the individual responses.]",Cited guidance sections added.,,,,,,,,,,,,
CG0020,3.3,1,ALL,ALL,GEN,Use of value 'MULTIPLE' is appropriate to the data being represented,Value in associated codelist or 'MULTIPLE',IG v3.3,3.2.2|4.2.8.3,,"3.2.2[Conformance with the SDTMIG Domain Models is minimally indicated by following SDTM-specified controlled terminology and format guidelines for variables, when provided]4.2.8.3[The SDTM permits one value for each Qualifier variable per record. If multiple values exist (e.g., due to a ""Check all that apply"" instruction on a CRF), then the value for the Qualifier variable should be ""MULTIPLE"" and SUPP-- should be used to store the individual responses.]",Cited guidance sections added.,,,,,,,,,,,,
CG0020,3.4,1,ALL,ALL,GEN,Use of value 'MULTIPLE' is appropriate to the data being represented,Value in associated codelist or 'MULTIPLE',IG v3.4,3.2.2|4.2.8.3,,"3.2.2[Conformance with the SDTMIG Domain Models is minimally indicated by following SDTM-specified controlled terminology and format guidelines for variables, when provided]|4.2.8.3[The SDTM permits one value for each Qualifier variable per record. If multiple values exist (e.g., due to a ""Check all that apply"" instruction on a CRF), then the value for the Qualifier variable should be ""MULTIPLE"" and SUPP-- should be used to store the individual responses.]",,,,,,,,,,,,,
