SDTM Class,Domain,Variable Order,Class,Dataset Name,Variable Name,Variable Label,Type,CDISC CT Codelist Code(s),Codelist Submission Value(s),Described Value Domain(s),Value List,Role,Core,CDISC Notes
Interventions,AG,1.0,Interventions,AG,STUDYID,Study Identifier,Char,,,,,Identifier,Req,Unique identifier for a study.
Interventions,AG,2.0,Interventions,AG,DOMAIN,Domain Abbreviation,Char,,,,AG,Identifier,Req,Two-character abbreviation for the domain.
Interventions,AG,3.0,Interventions,AG,USUBJID,Unique Subject Identifier,Char,,,,,Identifier,Req,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.
Interventions,AG,4.0,Interventions,AG,AGSEQ,Sequence Number,Num,,,,,Identifier,Req,Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.
Interventions,AG,5.0,Interventions,AG,AGGRPID,Group ID,Char,,,,,Identifier,Perm,Used to tie together a block of related records in a single domain for a subject.
Interventions,AG,6.0,Interventions,AG,AGSPID,Sponsor-Defined Identifier,Char,,,,,Identifier,Perm,Sponsor-defined reference number. May be preprinted on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number from the procedure or test page.
Interventions,AG,7.0,Interventions,AG,AGLNKID,Link ID,Char,,,,,Identifier,Perm,Identifier used to link related records across domains.This may be a one-to-one or a one-to-many relationship.
Interventions,AG,8.0,Interventions,AG,AGLNKGRP,Link Group ID,Char,,,,,Identifier,Perm,Identifier used to link related records across domains.This will usually be a many-to-one relationship.
Interventions,AG,9.0,Interventions,AG,AGTRT,Reported Agent Name,Char,,,,,Topic,Req,Verbatim medication name that is either preprinted or collected on a CRF.
Interventions,AG,10.0,Interventions,AG,AGMODIFY,Modified Reported Name,Char,,,,,Synonym Qualifier,Perm,"If AGTRT is modified to facilitate coding, then AGMODIFY will contain the modified text."
Interventions,AG,11.0,Interventions,AG,AGDECOD,Standardized Agent Name,Char,,,,,Synonym Qualifier,Perm,"Standardized or dictionary-derived text description of AGTRT or AGMODIFY. Equivalent to the generic medication name in WHO Drug. The sponsor is expected to provide the dictionary name and version used to map the terms utilizing the external codelist element in the Define-XML document. If an intervention term does not have a decode value in the dictionary, then AGDECOD will be left blank."
Interventions,AG,12.0,Interventions,AG,AGCAT,Category for Agent,Char,,,,,Grouping Qualifier,Perm,"Used to define a category of agent. Examples: ""CHALLENGE AGENT"", ""PET TRACER""."
Interventions,AG,13.0,Interventions,AG,AGSCAT,Subcategory for Agent,Char,,,,,Grouping Qualifier,Perm,Further categorization of agent.
Interventions,AG,14.0,Interventions,AG,AGPRESP,AG Pre-Specified,Char,C66742,,,,Variable Qualifier,Perm,"Used to indicate whether (""Y""/null) information about the use of a specific agent was solicited on the CRF."
Interventions,AG,15.0,Interventions,AG,AGOCCUR,AG Occurrence,Char,C66742,,,,Record Qualifier,Perm,"When the use of specific agent is solicited, AGOCCUR is used to indicate whether (""Y""/""N"") use of the agent occurred. Values are null for agents not specifically solicited."
Interventions,AG,16.0,Interventions,AG,AGSTAT,Completion Status,Char,C66789,,,,Record Qualifier,Perm,"Used to indicate that a question about a prespecified agent was not answered. Should be null or have a value of ""NOT DONE""."
Interventions,AG,17.0,Interventions,AG,AGREASND,Reason Procedure Agent Not Collected,Char,,,,,Record Qualifier,Perm,"Describes the reason a response to a question about the occurrence of a procedure agent was not collected. Used in conjunction with AGSTAT when value is ""NOT DONE""."
Interventions,AG,18.0,Interventions,AG,AGCLAS,Agent Class,Char,,,,,Variable Qualifier,Perm,"Drug class. May be obtained from coding. When coding to a single class, populate with class value. If using a dictionary and coding to multiple classes, follow guidance in Section 4.2.8.3, Multiple Values for a Non-result Qualifier Variable, or omit AGCLAS."
Interventions,AG,19.0,Interventions,AG,AGCLASCD,Agent Class Code,Char,,,,,Variable Qualifier,Perm,"Class code corresponding to AGCLAS. Drug class. May be obtained from coding. When coding to a single class, populate with class code. If using a dictionary and coding to multiple classes, follow guidance in Section 4.2.8.3, Multiple Values for a Non-result Qualifier Variable, or omit AGCLASCD."
Interventions,AG,20.0,Interventions,AG,AGDOSE,Dose per Administration,Num,,,,,Record Qualifier,Perm,Amount of AGTRT taken.
Interventions,AG,21.0,Interventions,AG,AGDOSTXT,Dose Description,Char,,,,,Record Qualifier,Perm,"Dosing amounts or a range of dosing information collected in text form. Units may be stored in AGDOSU. Examples: ""200-400"", ""15-20""."
Interventions,AG,22.0,Interventions,AG,AGDOSU,Dose Units,Char,C71620,,,,Variable Qualifier,Perm,"Units for AGDOSE and AGDOSTXT. Examples: ""ng"", ""mg"", ""mg/kg""."
Interventions,AG,23.0,Interventions,AG,AGDOSFRM,Dose Form,Char,C66726,,,,Variable Qualifier,Perm,"Dose form for AGTRT. Examples: ""TABLET"", ""AEROSOL""."
Interventions,AG,24.0,Interventions,AG,AGDOSFRQ,Dosing Frequency per Interval,Char,C71113,,,,Record Qualifier,Perm,"Usually expressed as the number of repeated administrations of AGDOSE within a specific time period. Example: ""ONCE""."
Interventions,AG,25.0,Interventions,AG,AGROUTE,Route of Administration,Char,C66729,,,,Variable Qualifier,Perm,"Route of administration for AGTRT. Example: ""ORAL""."
Interventions,AG,26.0,Interventions,AG,VISITNUM,Visit Number,Num,,,,,Timing,Exp,"1. Clinical encounter number. \n 2. Numeric version of VISIT, used for sorting."
Interventions,AG,27.0,Interventions,AG,VISIT,Visit Name,Char,,,,,Timing,Perm,1. Protocol-defined description of clinical encounter. \n 2. May be used in addition to VISITNUM and/or VISITDY.
Interventions,AG,28.0,Interventions,AG,VISITDY,Planned Study Day of Visit,Num,,,,,Timing,Perm,Planned study day of the visit based upon RFSTDTC in Demographics.
Interventions,AG,29.0,Interventions,AG,TAETORD,Planned Order of Element within Arm,Num,,,,,Timing,Perm,Number that gives the planned order of the element within the arm for the element in which the agent administration started.
Interventions,AG,30.0,Interventions,AG,EPOCH,Epoch,Char,C99079,,,,Timing,Perm,Epoch associated with the start date/time of the agent administration started.
Interventions,AG,31.0,Interventions,AG,AGSTDTC,Start Date/Time of Agent,Char,,,ISO 8601 datetime or interval,,Timing,Perm,The date/time when administration of the treatment indicated by AGTRT and the dosing variables began.
Interventions,AG,32.0,Interventions,AG,AGENDTC,End Date/Time of Agent,Char,,,ISO 8601 datetime or interval,,Timing,Perm,The date/time when administration of the treatment indicated by AGTRT and the dosing variables ended.
Interventions,AG,33.0,Interventions,AG,AGSTDY,Study Day of Start of Agent,Num,,,,,Timing,Perm,Study day of start of agent relative to the sponsor-defined RFSTDTC.
Interventions,AG,34.0,Interventions,AG,AGENDY,Study Day of End of Agent,Num,,,,,Timing,Perm,Study day of end of agent relative to the sponsor-defined RFSTDTC.
Interventions,AG,35.0,Interventions,AG,AGDUR,Duration of Agent,Char,,,ISO 8601 duration,,Timing,Perm,Collected duration for an agent episode. Used only if collected on the CRF and not derived from start and end date/times.
Interventions,AG,36.0,Interventions,AG,AGSTRF,Start Relative to Reference Period,Char,C66728,,,,Timing,Perm,"Describes the start of the agent relative to sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point (represented by RFSTDTC and RFENDTC in Demographics). If information such as ""PRIOR"", ""ONGOING"", or ""CONTINUING"" was collected, this information may be translated into AGSTRF. \n Not all values of the codelist are allowable for this variable. See Section 4.4.7, Use of Relative Timing Variables."
Interventions,AG,37.0,Interventions,AG,AGENRF,End Relative to Reference Period,Char,C66728,,,,Timing,Perm,"Describes the end of the agent relative to the sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point (represented by RFSTDTC and RFENDTC in Demographics). If information such as ""PRIOR"", ""ONGOING"", or ""CONTINUING"" was collected, this information may be translated into AGENRF. \n Not all values of the codelist are allowable for this variable. See Section 4.4.7, Use of Relative Timing Variables."
Interventions,AG,38.0,Interventions,AG,AGSTRTPT,Start Relative to Reference Time Point,Char,C66728,,,,Timing,Perm,"Identifies the start of the agent as being before or after the sponsor-defined reference time point defined by variable AGSTTPT. \n Not all values of the codelist are allowable for this variable. See Section 4.4.7, Use of Relative Timing Variables."
Interventions,AG,39.0,Interventions,AG,AGSTTPT,Start Reference Time Point,Char,,,,,Timing,Perm,"Description or date/time in ISO 8601 character format of the reference point referred to by AGSTRTPT. Examples: ""2003-12-15"", ""VISIT 1""."
Interventions,AG,40.0,Interventions,AG,AGENRTPT,End Relative to Reference Time Point,Char,C66728,,,,Timing,Perm,"Identifies the end of the agent as being before or after the reference time point defined by variable AGENTPT. Identifies the end of the agent as being before or after the sponsor-defined reference time point defined by variable AGENTPT. \n Not all values of the codelist are allowable for this variable. See Section 4.4.7, Use of Relative Timing Variables."
Interventions,AG,41.0,Interventions,AG,AGENTPT,End Reference Time Point,Char,,,,,Timing,Perm,"Description or date/time in ISO 8601 character format of the reference point referred to by AGENRTPT. Examples: ""2003-12-25"", ""VISIT 2""."
Interventions,CM,1.0,Interventions,CM,STUDYID,Study Identifier,Char,,,,,Identifier,Req,Unique identifier for a study.
Interventions,CM,2.0,Interventions,CM,DOMAIN,Domain Abbreviation,Char,,,,CM,Identifier,Req,Two-character abbreviation for the domain.
Interventions,CM,3.0,Interventions,CM,USUBJID,Unique Subject Identifier,Char,,,,,Identifier,Req,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.
Interventions,CM,4.0,Interventions,CM,CMSEQ,Sequence Number,Num,,,,,Identifier,Req,Sequence number to ensure uniqueness of subject records within a domain. May be any valid number.
Interventions,CM,5.0,Interventions,CM,CMGRPID,Group ID,Char,,,,,Identifier,Perm,Used to tie together a block of related records in a single domain for a subject.
Interventions,CM,6.0,Interventions,CM,CMSPID,Sponsor-Defined Identifier,Char,,,,,Identifier,Perm,Sponsor-defined reference number. Example: a number preprinted on the CRF as an explicit line identifier or record identifier defined in the sponsor's operational database. Example: line number on a concomitant medication page.
Interventions,CM,7.0,Interventions,CM,CMTRT,"Reported Name of Drug, Med, or Therapy",Char,,,,,Topic,Req,Verbatim medication name that is either preprinted or collected on a CRF.
Interventions,CM,8.0,Interventions,CM,CMMODIFY,Modified Reported Name,Char,,,,,Synonym Qualifier,Perm,"If CMTRT is modified to facilitate coding, then CMMODIFY will contain the modified text."
Interventions,CM,9.0,Interventions,CM,CMDECOD,Standardized Medication Name,Char,,,,,Synonym Qualifier,Perm,"Standardized or dictionary-derived text description of CMTRT or CMMODIFY. Equivalent to the generic drug name in WHO Drug. The sponsor is expected to provide the dictionary name and version used to map the terms utilizing the external codelist element in the Define-XML document. If an intervention term does not have a decode value in the dictionary, then CMDECOD will be left blank."
Interventions,CM,10.0,Interventions,CM,CMCAT,Category for Medication,Char,,,,,Grouping Qualifier,Perm,"Used to define a category of medications/treatment. Examples: ""PRIOR"", ""CONCOMITANT"", ""ANTI-CANCER MEDICATION"", ""GENERAL CONMED""."
Interventions,CM,11.0,Interventions,CM,CMSCAT,Subcategory for Medication,Char,,,,,Grouping Qualifier,Perm,"A further categorization of medications/treatment. Examples: ""CHEMOTHERAPY"", ""HORMONAL THERAPY"", ""ALTERNATIVE THERAPY""."
Interventions,CM,12.0,Interventions,CM,CMPRESP,CM Pre-specified,Char,C66742,,,,Variable Qualifier,Perm,"Used to indicate whether (""Y""/null) information about the use of a specific medication was solicited on the CRF."
Interventions,CM,13.0,Interventions,CM,CMOCCUR,CM Occurrence,Char,C66742,,,,Record Qualifier,Perm,"When the use of a specific medication is solicited. CMOCCUR is used to indicate whether (""Y""/""N"") use of the medication occurred. Values are null for medications not specifically solicited."
Interventions,CM,14.0,Interventions,CM,CMSTAT,Completion Status,Char,C66789,,,,Record Qualifier,Perm,"Used to indicate that a question about the occurrence of a prespecified intervention was not answered. Should be null or have a value of ""NOT DONE""."
Interventions,CM,15.0,Interventions,CM,CMREASND,Reason Medication Not Collected,Char,,,,,Record Qualifier,Perm,"Reason not done. Used in conjunction with CMSTAT when value is ""NOT DONE""."
Interventions,CM,16.0,Interventions,CM,CMINDC,Indication,Char,,,,,Record Qualifier,Perm,"Denotes why a medication was taken or administered. Examples: ""NAUSEA"", ""HYPERTENSION""."
Interventions,CM,17.0,Interventions,CM,CMCLAS,Medication Class,Char,,,,,Variable Qualifier,Perm,"Drug class. May be obtained from coding. When coding to a single class, populate with class value. If using a dictionary and coding to multiple classes, then follow Section 4.2.8.3, Multiple Values for a Non-result Qualifier Variable, or omit CMCLAS."
Interventions,CM,18.0,Interventions,CM,CMCLASCD,Medication Class Code,Char,,,,,Variable Qualifier,Perm,"Class code corresponding to CMCLAS. Drug class. May be obtained from coding. When coding to a single class, populate with class code. If using a dictionary and coding to multiple classes, then follow Section 4.2.8.3, Multiple Values for a Non-result Qualifier Variable, or omit CMCLASCD."
Interventions,CM,19.0,Interventions,CM,CMDOSE,Dose per Administration,Num,,,,,Record Qualifier,Perm,Amount of CMTRT given. Not populated when CMDOSTXT is populated.
Interventions,CM,20.0,Interventions,CM,CMDOSTXT,Dose Description,Char,,,,,Record Qualifier,Perm,"Dosing amounts or a range of dosing information collected in text form. Units may be stored in CMDOSU. Examples: ""200-400"", ""15-20"". Not populated when CMDOSE is populated."
Interventions,CM,21.0,Interventions,CM,CMDOSU,Dose Units,Char,C71620,,,,Variable Qualifier,Perm,"Units for CMDOSE, CMDOSTOT, or CMDOSTXT. Examples: ""ng"", ""mg"", ""mg/kg""."
Interventions,CM,22.0,Interventions,CM,CMDOSFRM,Dose Form,Char,C66726,,,,Variable Qualifier,Perm,"Dose form for CMTRT. Examples: ""TABLET"", ""LOTION""."
Interventions,CM,23.0,Interventions,CM,CMDOSFRQ,Dosing Frequency per Interval,Char,C71113,,,,Record Qualifier,Perm,"Usually expressed as the number of repeated administrations of CMDOSE within a specific time period. Examples: ""BID"" (twice daily), ""Q12H"" (every 12 hours)."
Interventions,CM,24.0,Interventions,CM,CMDOSTOT,Total Daily Dose,Num,,,,,Record Qualifier,Perm,Total daily dose of CMTRT using the units in CMDOSU. Used when dosing is collected as total daily dose. Total dose over a period other than day could be recorded in a separate supplemental qualifier variable.
Interventions,CM,25.0,Interventions,CM,CMDOSRGM,Intended Dose Regimen,Char,,,,,Record Qualifier,Perm,"Text description of the (intended) schedule or regimen for the Intervention. Example: ""TWO WEEKS ON, TWO WEEKS OFF""."
Interventions,CM,26.0,Interventions,CM,CMROUTE,Route of Administration,Char,C66729,,,,Variable Qualifier,Perm,"Route of administration for the intervention. Examples: ""ORAL"", ""INTRAVENOUS""."
Interventions,CM,27.0,Interventions,CM,CMADJ,Reason for Dose Adjustment,Char,,,,,Record Qualifier,Perm,"Describes reason or explanation of why a dose is adjusted. Examples: ""ADVERSE EVENT"", ""INSUFFICIENT RESPONSE"", ""NON-MEDICAL REASON""."
Interventions,CM,28.0,Interventions,CM,CMRSDISC,Reason the Intervention Was Discontinued,Char,,,,,Record Qualifier,Perm,"When dosing of a treatment is recorded over multiple successive records, this variable is applicable only for the (chronologically) last record for the treatment."
